#T p_COgas p_O2gas CO_oxidation CO_ruo2_bridge CO_ruo2_cus O_ruo2_bridge O_ruo2_cus empty_ruo2_bridge empty_ruo2_cus kmc_time simulated_time kmc_steps
# kMC model parameters (20, fixed 17)
# --------------------
# A = 20.0616*angstrom**2
# E_CO_bridge = -1.6
# E_CO_cus = -1.3
# E_COdiff_bridge_bridge = 0.6
# E_COdiff_bridge_cus = 1.6
# E_COdiff_cus_bridge = 1.3
# E_COdiff_cus_cus = 1.7
# E_O_bridge = -2.3
# E_O_cus = -1.0
# E_Odiff_bridge_bridge = 0.7
# E_Odiff_bridge_cus = 2.3
# E_Odiff_cus_bridge = 1.0
# E_Odiff_cus_cus = 1.6
# E_react_Obridge_CObridge = 1.5
# E_react_Obridge_COcus = 1.2
# E_react_Ocus_CObridge = 0.8
# E_react_Ocus_COcus = 0.9
# T = 498.43049327354265  # *
# p_COgas = 0.20000000000000004  # *
# p_O2gas = 0.1  # *
# --------------------
# * adjustable parameters
# If one or more parameters change between data lines
# the set above corresponds to the first line.
4.98430e+02 2.00000e-01 1.00000e-01 4.55771e+01 7.70000e-01 9.97500e-01 2.30000e-01 0.00000e+00 0.00000e+00 2.50000e-03 2.01664e-01 4.03278e-01 1.00000e+07
5.94385e+02 2.00000e-01 1.00000e-01 3.08849e+01 0.00000e+00 2.50000e-03 1.00000e+00 9.95000e-01 0.00000e+00 2.50000e-03 9.52841e+00 1.88443e+01 1.00000e+07
6.20950e+02 2.00000e-01 1.00000e-01 5.36093e+01 0.00000e+00 0.00000e+00 1.00000e+00 9.97500e-01 0.00000e+00 2.50000e-03 3.93334e+00 7.84064e+00 1.00000e+07
6.50000e+02 2.00000e-01 1.00000e-01 1.43957e+02 0.00000e+00 0.00000e+00 1.00000e+00 9.95000e-01 0.00000e+00 5.00000e-03 9.73645e-01 1.94847e+00 1.00000e+07
6.07377e+02 2.00000e-01 1.00000e-01 3.79740e+01 2.50000e-03 0.00000e+00 9.97500e-01 9.92500e-01 0.00000e+00 7.50000e-03 6.69009e+00 1.32792e+01 1.00000e+07
5.81937e+02 2.00000e-01 1.00000e-01 3.11377e+01 2.50000e-03 7.50000e-03 9.97500e-01 9.87500e-01 0.00000e+00 5.00000e-03 1.03431e+01 2.04116e+01 1.00000e+07
6.35143e+02 2.00000e-01 1.00000e-01 8.35823e+01 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00 2.06413e+00 4.11296e+00 1.00000e+07
5.58543e+02 2.00000e-01 1.00000e-01 9.08268e+03 2.00000e-02 3.25000e-01 9.80000e-01 6.55000e-01 0.00000e+00 2.00000e-02 2.78034e-02 4.76751e-02 1.00000e+07
5.16977e+02 2.00000e-01 1.00000e-01 5.12257e+02 4.15000e-01 9.82500e-01 5.85000e-01 5.00000e-03 0.00000e+00 1.25000e-02 6.11392e-02 1.22102e-01 1.00000e+07
4.89648e+02 2.00000e-01 1.00000e-01 1.30448e+01 8.55000e-01 9.97500e-01 1.45000e-01 0.00000e+00 0.00000e+00 2.50000e-03 3.63725e-01 7.27498e-01 1.00000e+07
5.26777e+02 2.00000e-01 1.00000e-01 1.60994e+03 2.27500e-01 9.52500e-01 7.72500e-01 3.50000e-02 0.00000e+00 1.25000e-02 3.42550e-02 6.83257e-02 1.00000e+07
5.07534e+02 2.00000e-01 1.00000e-01 1.44031e+02 6.15000e-01 9.95000e-01 3.85000e-01 0.00000e+00 0.00000e+00 5.00000e-03 1.10808e-01 2.21559e-01 1.00000e+07
4.57407e+02 2.00000e-01 1.00000e-01 1.08827e-01 9.95000e-01 1.00000e+00 5.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 3.86352e+00 7.72589e+00 1.00000e+07
5.47537e+02 2.00000e-01 1.00000e-01 1.27563e+04 4.25000e-02 7.70000e-01 9.57500e-01 2.05000e-01 0.00000e+00 2.50000e-02 1.29441e-02 2.56765e-02 1.00000e+07
5.36957e+02 2.00000e-01 1.00000e-01 4.91650e+03 7.50000e-02 8.67500e-01 9.25000e-01 1.17500e-01 0.00000e+00 1.50000e-02 1.99663e-02 3.98112e-02 1.00000e+07
5.70000e+02 2.00000e-01 1.00000e-01 5.16915e+01 0.00000e+00 5.00000e-03 1.00000e+00 9.92500e-01 0.00000e+00 2.50000e-03 6.07592e+00 1.18493e+01 1.00000e+07
4.81169e+02 2.00000e-01 1.00000e-01 3.90859e+00 9.37500e-01 9.97500e-01 6.25000e-02 0.00000e+00 0.00000e+00 2.50000e-03 6.56332e-01 1.31264e+00 1.00000e+07
4.72979e+02 2.00000e-01 1.00000e-01 1.27194e+00 9.67500e-01 9.97500e-01 3.25000e-02 0.00000e+00 0.00000e+00 2.50000e-03 1.18473e+00 2.37018e+00 1.00000e+07
4.50000e+02 2.00000e-01 1.00000e-01 4.18634e-02 9.95000e-01 1.00000e+00 5.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 6.97912e+00 1.39554e+01 1.00000e+07
4.65063e+02 2.00000e-01 1.00000e-01 4.64879e-01 9.77500e-01 1.00000e+00 2.25000e-02 0.00000e+00 0.00000e+00 0.00000e+00 2.13898e+00 4.27866e+00 1.00000e+07
4.50000e+02 2.00000e-01 1.00000e-01 4.18634e-02 9.95000e-01 1.00000e+00 5.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 6.97912e+00 1.39554e+01 1.00000e+07
